Q1.Number of primitive deta types in java are?,A.6,B.7,C.8,D.9,A.62,,
Q2.Which is the size of float and double in java?,A.32 and 64,B.32 and 32,C.64 and 32,D.64 and 64,A.32 and 64,,
Q3.Auto type conversation is possible in which?,A.Byte to int,B.long to int,C.int to long,D.short to int,B.long to int,,
Q4.Select the valid statement to initialize an array__,A.int[]A={},"B.int[]A={1,2,3}","C.int[]A=(1,2,3)","D.int[][]A={1,2,3}","B.int[]A={1,2,3}",,
Q5.Select the valid statement___,A.char[]ch=newchar(5),B.char[]ch=newchar[5],C.char[]ch=newchar(),D.A.char[]ch=newchar[],B.A.char[]ch=newchar[5],,
Q6.Arrays in java are____,A.Object references,B.Objects,C.Primitive deta types,D.None,B.Objects,,
Q7.Compare to ( ) returns,A.True,B.False,C.An int Value,D.None,C.An int value,,
Q8.Total Constractor screen class have____,A.3,B.7,C.13,D.20,C.13,,
"Q9.Output of Math floor(3,6)?",A.3,B.3.0,C.4,D4.0,B.3.0,,
Q10.What is runnable?,A.Abstract,B.interface,C.Class,D.Method,B.interface,,
