Q1.Which are not looping structure?,A.for loop,B.While loop,C.Do while loop,D.if…..else,D.if….else
Q2.The first expression in a for loop is? ,A.Step value of loop.,B.Value of counter variable,C.Conditional Statement,D.None,B.Value of the countervariable
Q3.Which among the following is a Control structure?,A.go to,B.for,C.do-while,D.if-else,A.go to
Q4.Continue statement_______,A.Brake loops,B.docs not break,C.Exits,D.Start from Beginning,B.docs not break
Q5.Which Can be used for explicity Control?,A.if,B.while,C.break,D.for,C.break
Q6.A labele statement consists of an identifier by a,A.;,B./,C.:,D.None of these,C.:
Q7._____is used to break the execution of a loop.,A.next,B.skip,C.break,D.delete,C.break
Q8.Which can be used to explicity control looping?,A.if,B.while,C.break,D.for,C.break
Q9.Which used for evaluation from list Alternative?,A.subsett,B.eval,C.switch,D.set,B.eval
Q10.The continue statement cannot be used with__,A.for,B.while,C.do-while,D.switch,D.switch
